name	staint1
type	text
subtype  noskip
setlayer 9999999999
nodieblink 3

anim idle
	 loop      0
	 delay     3
	 offset    0 228
	 frame     data/chars/misc/staint/m1001.gif
	 frame     data/chars/misc/staint/m1002.gif
	 frame     data/chars/misc/staint/m1003.gif
	 frame     data/chars/misc/staint/m1004.gif
	 frame     data/chars/misc/staint/m1005.gif
	 frame     data/chars/misc/staint/m1006.gif
	 frame     data/chars/misc/staint/m1007.gif
	 frame     data/chars/misc/staint/m1008.gif
	 frame     data/chars/misc/staint/m1009.gif
         delay     200
	 frame     data/chars/misc/staint/m1010.gif


