name	  lfist01
health    0
speed     15
remove    1
type      none
candamage enemy obstacle npc
nolife    1
alpha     1

palette	  data/chars/tproj/lfist1.gif

load      lfist02

anim idle
	loop	0
	delay	4
	offset	-10 -13
	custknife lfist02
	throwframe 0
	fastattack 1
	hitfx   data/sounds2/beat7.wav
	attack2 8 9 28 22 3 0 1 0 8 3
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	frame	data/chars/tproj/lfist1.gif
	frame	data/chars/tproj/lfist2.gif
	frame	data/chars/tproj/lfist3.gif
	attack2 0
	frame	data/chars/tproj/lfist3.gif









